model_name,cv_pr_auc_mean,cv_pr_auc_std,holdout_pr_auc,holdout_roc_auc,holdout_f1,holdout_precision,holdout_recall,holdout_accuracy,decision_threshold,recall_at_precision_target,train_seconds,n_optuna_trials,best_params
lightgbm,0.515343325280461,0.01514933290002406,0.4868920504739915,0.8806945726259265,0.4923210663575775,0.5986610288935871,0.4180610236220472,0.9703322382903783,0.5975948301013367,0.1518208661417323,389.7354076000629,25,"{'n_estimators': 450, 'num_leaves': 249, 'learning_rate': 0.059438044001557604, 'subsample': 0.9332156289655296, 'colsample_bytree': 0.8294757870022367, 'min_child_samples': 61}"
xgboost,0.4953526469258656,0.01818197411483506,0.46043950792094485,0.8595799820113634,0.4713046125742122,0.6179640718562874,0.3809055118110236,0.970594709926508,0.6929028630256653,0.14616141732283464,206.84681739995722,25,"{'n_estimators': 450, 'max_depth': 8, 'learning_rate': 0.11953449625158145, 'subsample': 0.7646532535171965, 'colsample_bytree': 0.895083043886893, 'min_child_weight': 1}"
random_forest,0.42827769520323017,0.01878750016842145,0.4365682810800075,0.8750583861281471,0.43457814661134164,0.49620972836386606,0.38656496062992124,0.9653876113387747,0.6851719172360224,0.1045767716535433,340.6338631999679,20,"{'n_estimators': 250, 'max_depth': 14, 'min_samples_leaf': 17, 'max_features': 'sqrt'}"
logistic_regression,0.15387001317991467,0.024276176369813815,0.10803529972362433,0.7514362894746799,0.16984445559458103,0.17323439099283522,0.16658464566929135,0.943966539099807,0.763182885584452,0.16510826771653545,156.60374400002183,20,{'C': 1.362756381873745}
neural_network,0.11484155410919646,0.026155357079588052,0.0934350809242914,0.7882789148137879,0.16258169934640523,0.09140739833414993,0.734498031496063,0.739645070613337,0.6424276232719421,0.328248031496063,734.6008161000209,9,"{'n_layers': 1, 'units': 64, 'dropout': 0.2571172192068058, 'learning_rate': 0.0015304852121831463, 'batch_size': 256, 'epochs': 11}"
