train_size_fraction,train_rows,train_pr_auc,validation_pr_auc
0.1,40156,1.0,0.4552448932564937
0.25,100391,0.999999093347711,0.45157129260146917
0.5,200783,0.9999855314050738,0.459879000775974
0.75,301175,0.9997784019429463,0.5226039552714208
1.0,401567,0.9977730013802885,0.6119336493447732
