experiment_name,l2_norm_clip,noise_multiplier,learning_rate,class_weight_positive,batch_size,epochs,epsilon,delta,train_seconds,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,confusion_matrix,loss_history,pred_mean,pred_median,pred_std,pred_p90,pred_p99,pred_max,pred_n_unique_rounded4
phaseD_nm_0.01,20.0,0.01,0.0015304852121831463,38.04724716907458,256,11,242111.77825757887,1e-05,65.63115170004312,0.9305016580822691,0.08192597915918073,0.08775981524249422,0.08474261289723099,0.3981069868161211,0.04942191367253077,0.04913291707634926,"{'true_negative': 65712, 'false_positive': 2555, 'false_negative': 2370, 'true_positive': 228}","[2625.1015625, 157.4428253173828, 46.14503860473633, 38.26920700073242, 33.21171188354492, 32.71461486816406, 31.788782119750977, 31.015390396118164, 24.845741271972656, 25.624088287353516, 24.49707794189453]",0.01005636341869831,0.0025968621484935284,0.021426768973469734,0.02807796187698841,0.08549312502145767,1.0,1345
phaseD_nm_0.05,20.0,0.05,0.0015304852121831463,38.04724716907458,256,11,9791.778257578859,1e-05,65.98043979995418,0.9422987370352078,0.08925619834710743,0.06235565819861432,0.07341944255608429,0.3662223571435587,0.05164186188386902,0.06914597749710083,"{'true_negative': 66614, 'false_positive': 1653, 'false_negative': 2436, 'true_positive': 162}","[3865.836181640625, 1183.013916015625, 260.83026123046875, 49.6372184753418, 43.97698211669922, 40.4502067565918, 39.741397857666016, 42.65962219238281, 37.542198181152344, 37.305782318115234, 39.48630142211914]",0.011998310685157776,0.0030072287190705538,0.027227733284235,0.035342004150152206,0.09316543489694595,1.0,1339
phaseD_nm_0.1,20.0,0.1,0.0015304852121831463,38.04724716907458,256,11,2531.77825757886,1e-05,66.52826500008814,0.9329005856205461,0.07185391028185788,0.06966897613548884,0.07074457690052766,0.3589693805510499,0.04042952558926223,0.05672338604927063,"{'true_negative': 65929, 'false_positive': 2338, 'false_negative': 2417, 'true_positive': 181}","[3960.01123046875, 929.2643432617188, 92.0025634765625, 55.718353271484375, 54.43393325805664, 47.64895248413086, 51.77009201049805, 43.627220153808594, 42.41886520385742, 42.78687286376953, 44.42611312866211]",0.012392902746796608,0.0036786466371268034,0.027271665632724762,0.03725557029247284,0.08440356701612473,1.0,1236
phaseD_nm_0.3,20.0,0.3,0.0015304852121831463,38.04724716907458,256,11,348.1945934049867,1e-05,66.2998351000715,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.3286444748320042,0.0416896723568897,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[2780.582763671875, 504.82257080078125, 169.9121856689453, 144.17147827148438, 122.41781616210938, 113.221435546875, 88.85008239746094, 99.33160400390625, 87.33698272705078, 81.11592102050781, 80.52944946289062]",0.009914560243487358,0.0019483722280710936,0.024408714845776558,0.03132827952504158,0.07242036610841751,1.0,1083
phaseD_nm_0.6,20.0,0.6,0.0015304852121831463,38.04724716907458,256,11,112.24392565793273,1e-05,67.06629350001458,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.30989624378570696,0.029329625936152005,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[4383.16015625, 2164.326171875, 919.410888671875, 456.7651062011719, 326.7408142089844, 298.1839294433594, 273.5401916503906, 260.4052429199219, 229.68678283691406, 252.75987243652344, 239.90562438964844]",0.00749637745320797,0.0007155098137445748,0.01438823901116848,0.025404399260878563,0.057868581265211105,0.9933925867080688,948
phaseD_nm_1.1,20.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,66.67359779996332,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2865435430346721,0.027684550182156833,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[4357.08251953125, 2389.410888671875, 1562.028564453125, 1065.659912109375, 732.3021850585938, 556.882080078125, 474.9773254394531, 582.6806640625, 567.9547119140625, 505.19317626953125, 475.0886535644531]",0.008449922315776348,0.00028231763280928135,0.020449504256248474,0.02812953293323517,0.05119018256664276,1.0,908
