label,n_examples,mean,median,p10,p90,min,max,fraction_above_clip,l2_norm_clip
positive,300,446.87184417077185,0.0,0.0,480.3988677978536,0.0,17594.4921875,0.24333333333333335,1.0
negative,300,12.757382464670421,0.003165271831676364,0.0,10.459543323516856,0.0,816.1929931640625,0.41,1.0
all,600,229.81461331772113,0.0,0.0,164.43188934326173,0.0,17594.4921875,0.32666666666666666,1.0
