experiment_name,l2_norm_clip,noise_multiplier,learning_rate,class_weight_positive,batch_size,epochs,epsilon,delta,train_seconds,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,confusion_matrix,loss_history,pred_mean,pred_median,pred_std,pred_p90,pred_p99,pred_max,pred_n_unique_rounded4
phaseC_lr_0.00010,20.0,1.1,0.0001,38.04724716907458,256,11,45.572766011141525,1e-05,82.21763990004547,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2638874403094592,0.028286122316162343,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[5006.8427734375, 5938.96142578125, 5590.1865234375, 5086.361328125, 4654.95654296875, 4456.45654296875, 4257.45947265625, 4079.728759765625, 3964.96728515625, 3774.63818359375, 3734.04931640625]",0.013468277640640736,1.448831335437717e-05,0.023183783516287804,0.053652819246053696,0.0830107256770134,0.1391606628894806,1007
phaseC_lr_0.00050,20.0,1.1,0.0005,38.04724716907458,256,11,45.572766011141525,1e-05,82.15507510001771,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.270799346220535,0.02736702148511787,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[3820.230224609375, 3453.38232421875, 2882.305419921875, 2251.68359375, 1753.8919677734375, 1388.0491943359375, 991.9053955078125, 818.3138427734375, 680.1551513671875, 571.2589721679688, 485.08782958984375]",0.008741304278373718,8.054154750425369e-05,0.014899558387696743,0.03352896124124527,0.05358957499265671,0.9051914215087891,730
phaseC_lr_0.00153,20.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,82.38460350001696,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.29551370787660236,0.03227312729169905,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[3747.737548828125, 1994.2120361328125, 1360.74853515625, 848.8711547851562, 563.8617553710938, 688.3070678710938, 554.0136108398438, 596.16796875, 553.1483764648438, 610.85888671875, 607.39111328125]",0.008835306391119957,0.0002665208594407886,0.01811409369111061,0.029464835301041603,0.05710035189986229,1.0,971
phaseC_lr_0.00500,20.0,1.1,0.005,38.04724716907458,256,11,45.572766011141525,1e-05,81.86626630008686,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2844418887424917,0.028557981981593063,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[3665.917724609375, 2490.950439453125, 1702.6876220703125, 1179.10400390625, 1336.4896240234375, 1405.32373046875, 1516.6351318359375, 1712.4974365234375, 1745.6131591796875, 2079.17822265625, 1874.0338134765625]",0.0037921040784567595,4.599113253789255e-06,0.007377095986157656,0.01546238549053669,0.028358960524201393,0.18436744809150696,523
phaseC_lr_0.01000,20.0,1.1,0.01,38.04724716907458,256,11,45.572766011141525,1e-05,81.09996979997959,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2918149785529992,0.03045881937353013,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[4183.7578125, 3973.8388671875, 4896.365234375, 4151.96875, 4053.706787109375, 4279.404296875, 5114.265625, 5045.2216796875, 6476.58056640625, 6929.2392578125, 7309.31103515625]",0.0006889382493682206,1.0373272336591799e-12,0.004360716789960861,0.002215963788330555,0.010341896675527096,1.0,283
