experiment_name,l2_norm_clip,noise_multiplier,learning_rate,class_weight_positive,batch_size,epochs,epsilon,delta,train_seconds,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,confusion_matrix,loss_history,pred_mean,pred_median,pred_std,pred_p90,pred_p99,pred_max,pred_n_unique_rounded4
phaseA_clip_0.5,0.5,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,67.5414195000194,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2857100831491546,0.029008351035304802,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[4555.126953125, 2618.1494140625, 1729.2762451171875, 1160.946044921875, 944.0853881835938, 823.8084106445312, 629.2359619140625, 654.5218505859375, 538.0291137695312, 501.6033935546875, 516.2652587890625]",8.151681686285883e-05,5.059015961705882e-07,0.0002709035761654377,0.00025680294493213296,0.0006912043900229037,0.02619105577468872,74
phaseA_clip_1.0,1.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,70.95392280002125,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2856597329150689,0.028814496092513055,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[4418.48193359375, 2569.75732421875, 1668.99951171875, 1109.5107421875, 901.066650390625, 774.9307861328125, 593.5360107421875, 616.0830688476562, 512.49609375, 478.7380676269531, 519.7107543945312]",0.00019389126100577414,1.9173726286680903e-06,0.0005862733232788742,0.0006219042115844786,0.0015532287070527673,0.030685311183333397,122
phaseA_clip_2.0,2.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,70.95106680004392,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2856280173420866,0.028701656871403462,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[4291.45654296875, 2516.2060546875, 1609.732421875, 1062.53466796875, 873.854736328125, 745.2010498046875, 569.8770141601562, 575.318603515625, 478.3959045410156, 468.53350830078125, 499.05316162109375]",0.0004566367424558848,7.190650649135932e-06,0.0013503190129995346,0.0014771702699363232,0.003562122816219926,0.13140536844730377,202
phaseA_clip_5.0,5.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,69.88830420002341,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.286593312521377,0.02845051601345045,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[4141.08154296875, 2434.16015625, 1535.1751708984375, 1004.132080078125, 805.6707763671875, 663.480712890625, 501.0705871582031, 513.9658203125, 433.3187561035156, 422.8724670410156, 444.1927795410156]",0.0014358456246554852,4.058655758854002e-05,0.003935427404940128,0.004680427722632885,0.011132340878248215,0.5712055563926697,364
phaseA_clip_10.0,10.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,71.31609929993283,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.28692318549117585,0.028209348165241524,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[4036.912109375, 2361.07666015625, 1499.1214599609375, 975.8338012695312, 759.7274169921875, 612.1484375, 456.4902648925781, 458.59466552734375, 413.7066955566406, 397.19952392578125, 424.859375]",0.003359744558110833,0.00014869125152472407,0.0068882605992257595,0.011106014251708984,0.024529943242669106,0.5394847989082336,572
phaseA_clip_20.0,20.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,70.60016739997081,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.286929779511194,0.02795740338084008,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[3921.509521484375, 2278.653076171875, 1438.5604248046875, 934.225830078125, 706.3091430664062, 561.2262573242188, 414.08416748046875, 419.3194274902344, 385.68621826171875, 361.5808410644531, 397.141357421875]",0.00782847311347723,0.0005265502841211855,0.013320374302566051,0.02616426721215248,0.0506366565823555,0.5122321248054504,885
phaseA_clip_50.0,50.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,71.44547569996212,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2863472757924092,0.027670735462547162,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[3792.135009765625, 2174.45361328125, 1352.5211181640625, 854.6421508789062, 633.3851928710938, 480.1644287109375, 363.8098449707031, 367.4923095703125, 352.46966552734375, 322.6573791503906, 343.8319396972656]",0.024544313549995422,0.0027584952767938375,0.03619876503944397,0.08278874307870865,0.13132315874099731,0.6732271313667297,1739
phaseB_cw_1.00,20.0,1.1,0.0015304852121831463,1.0,256,11,45.572766011141525,1e-05,73.07673490000889,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2893663305199337,0.028595304790356185,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[151.5477752685547, 89.37093353271484, 57.884334564208984, 39.65944290161133, 25.84811019897461, 19.313182830810547, 19.03972625732422, 21.417224884033203, 21.59394073486328, 17.630796432495117, 17.916656494140625]",0.004126223735511303,0.0002624496992211789,0.009299378842115402,0.01288133580237627,0.02679312974214554,0.9998234510421753,589
phaseB_cw_6.17,20.0,1.1,0.0015304852121831463,6.168245063960622,256,11,45.572766011141525,1e-05,162.75497020001058,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.2948194243828175,0.028823218571068093,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[809.9432983398438, 464.55157470703125, 257.97711181640625, 190.196533203125, 142.5359649658203, 116.28822326660156, 92.44456481933594, 87.62711334228516, 82.14604187011719, 80.4059829711914, 83.2048110961914]",0.006868897937238216,0.00033989970688708127,0.01192718930542469,0.022749880328774452,0.04949440062046051,0.20575611293315887,856
phaseB_cw_38.05,20.0,1.1,0.0015304852121831463,38.04724716907458,256,11,45.572766011141525,1e-05,98.95682909991592,0.036661257320256824,0.036661257320256824,1.0,0.07072948286892722,0.29747800131740565,0.030743714902072714,0.0,"{'true_negative': 0, 'false_positive': 68267, 'false_negative': 0, 'true_positive': 2598}","[5030.896484375, 2863.551513671875, 1809.0137939453125, 1440.3604736328125, 1183.8046875, 1053.521728515625, 813.3416137695312, 809.370849609375, 778.7335815429688, 632.5304565429688, 559.5991821289062]",0.008058646693825722,0.0005428317235782743,0.02022358402609825,0.02662990614771843,0.04719460383057594,1.0,868
