,0
numeric__C13,0.04385577920000513
numeric__C5,0.030739066050552547
numeric__V69,0.02804202073730975
numeric__C2,0.0248280404099628
numeric__V317,0.022714942133724624
numeric__V29,0.02254695769193469
numeric__V90,0.020655886223395047
numeric__V265,0.019545704093178882
numeric__V258,0.019263386492145422
numeric__card1_amt_mean,0.018854446084970958
numeric__V294,0.018186361060019033
numeric__V219,0.01750519894320042
numeric__TransactionAmt,0.017204835165523957
numeric__card1_amt_std,0.016935266709164783
numeric__D2,0.016846761126509152
numeric__V264,0.015986293192381776
numeric__V257,0.015847186928676905
numeric__TransactionAmt_log,0.01563940877702893
numeric__V318,0.01454215760410458
numeric__V283,0.014221885493616191
numeric__V280,0.013351489131867376
numeric__V308,0.01322994369443481
numeric__card1_txn_count,0.012919194761122809
numeric__card1_amt_zscore,0.01279055652014967
numeric__D3,0.011655752743061779
numeric__TransactionAmt_decimal,0.011601313226230427
numeric__D15,0.011516238745050965
numeric__V306,0.011407331966853363
numeric__card2,0.010459644057318186
numeric__V263,0.010371496696600398
numeric__card1,0.01031262574676076
numeric__V307,0.010282872338248575
numeric__V199,0.010189387087917069
numeric__V218,0.010043429437738624
categorical__card6_debit,0.00986656366748722
categorical__card6_credit,0.009687171605575147
numeric__V232,0.009638185006705222
numeric__V201,0.00946777111328995
numeric__V204,0.009402315238941106
categorical__M4_missing,0.009349464731940515
numeric__V133,0.008946042198633973
numeric__V48,0.008751251953340042
numeric__V282,0.008591114457276335
numeric__card3,0.008494727895693631
numeric__V217,0.007909983527395048
numeric__D10,0.007796722935475476
numeric__V243,0.007424840049807895
numeric__V274,0.007389433055585304
categorical__ProductCD_C,0.007261251199117641
numeric__D5,0.007257800546385525
numeric__addr1,0.006896946435848762
numeric__V128,0.006877622537428289
numeric__V168,0.00650845012018642
numeric__V102,0.00636010479032777
numeric__V279,0.006302573548664904
numeric__V134,0.005837288558029869
numeric__V246,0.005673219996977932
numeric__V200,0.005656478220530293
numeric__id_17,0.005606077573445034
numeric__D8,0.00544251470082483
numeric__id_31,0.005259208144338977
numeric__card5,0.005154605784209119
numeric__V52,0.005123322390283608
numeric__V230,0.0050641722902284424
categorical__R_emaildomain_grouped_missing,0.005036976001060516
numeric__V34,0.005015302252412734
numeric__id_02,0.004816387502792275
categorical__R_emaildomain_grouped_gmail.com,0.004792289633613037
numeric__C9,0.004607276685998047
numeric__V275,0.004436496443016849
categorical__id_35_F,0.004373597749707119
numeric__V126,0.004099078798081331
numeric__V187,0.004097520786789674
numeric__V170,0.0038876857711352265
categorical__M4_M2,0.003886994780816889
numeric__V171,0.003863994909417587
numeric__V45,0.00378199714658858
numeric__V79,0.0037602137712151595
numeric__V87,0.003528638294949398
numeric__V202,0.0034990635842257188
numeric__id_01,0.003485682910584163
numeric__V62,0.0031659112031869035
numeric__V53,0.0031424150725314903
numeric__V178,0.0030236444234260067
numeric__V44,0.002951952038159572
numeric__V156,0.0029282308027426874
numeric__V179,0.0029262858411172052
